t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2
1777974760.7588282,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,-0.1188,0.6336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1777974760.7688856,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.2376,0.1584,0.4752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.778887,0.0,0.0,0.0,0.0,0.0,0.0,0.35639999999999994,0.1188,0.5544000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1777974760.788911,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.27720000000000006,0.0,0.4752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1777974760.7989228,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.27720000000000006,0.0,0.4752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.80888,0.0,0.0,0.0,0.0,0.0,0.0,0.3168,0.0792,0.5544000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.8189192,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,0.0,0.5544000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.8298578,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,0.0,0.5544000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.838914,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,0.0,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0020777729190408684
1777974760.848865,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0020777729190408684,0.35639999999999994,0.0,0.5544000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684
1777974760.8589408,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.27720000000000006,0.0,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.868882,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,0.0,0.4356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1777974760.8789344,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.2376,0.0396,0.5940000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.888912,0.0,0.0,0.0,0.0,0.0,0.0,0.2376,0.1584,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.898917,0.0,0.0,0.0,0.0,0.0,0.0,0.2376,0.1584,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.9088814,0.0,0.0,0.0,0.0,0.0,0.0,0.3168,0.1188,0.5544000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1777974760.9189124,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.27720000000000006,0.0396,0.5940000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0
1777974760.9294055,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.2376,0.0396,0.6336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0
1777974760.9389052,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.2376,0.0396,0.6336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.9489124,0.0,0.0,0.0,0.0,0.0,0.0,0.2376,0.0,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0
1777974760.9589744,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0,0.27720000000000006,0.1188,0.5544000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0
1777974760.968898,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0,0.3168,0.1188,0.5544000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.9788802,0.0,0.0,0.0,0.0,0.0,0.0,0.198,0.1584,0.4752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.9888783,0.0,0.0,0.0,0.0,0.0,0.0,0.3168,0.0,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974760.9989188,0.0,0.0,0.0,0.0,0.0,0.0,0.3168,0.0,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974761.0089111,0.0,0.0,0.0,0.0,0.0,0.0,0.2376,0.0,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974761.0189056,0.0,0.0,0.0,0.0,0.0,0.0,0.2376,0.1188,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974761.0288887,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,0.0792,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0020777729190408684,0.0
1777974761.0389233,0.0,0.0,0.0,-0.0020777729190408684,0.0020777729190408684,0.0,0.27720000000000006,0.0,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974761.0489128,0.0,0.0,0.0,0.0,0.0,0.0,0.2376,0.1584,0.5544000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974761.0588481,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,0.0,0.5544000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974761.0689116,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,0.0792,0.4752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777974761.0789163,0.0,0.0,0.0,0.0,0.0,0.0,0.27720000000000006,0.1188,0.5148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
