t,q_0,q_1,q_2,dq_0,dq_1,dq_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2
1777274744.2186413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777274744.2286074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777274744.238562,0.0,0.0,0.0,0.0,0.0,0.0,0.0031304421440986455,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0
1777274744.2486267,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.006254227581854829,0.0,0.0,0.0,0.0,0.0,0.01246663751424521,0.0,0.0
1777274744.258459,0.0,0.0,0.0,0.01246663751424521,0.0,0.0,0.009406273665287916,0.0,0.0,0.0,0.0,0.0,0.0394776854617765,0.0,0.0
1777274744.2686045,0.0,0.0,0.0,0.0394776854617765,0.0,0.0,0.012476535976547947,0.0,0.0,0.0,0.0,0.0,0.05609986881410345,0.0,0.0
1777274744.2786083,0.0,0.0,0.0,0.05609986881410345,0.0,0.0,0.015632038800119652,0.0,0.0,0.0017453292519943296,0.0,0.0,0.10388864595204342,0.0,0.0
1777274744.2886145,0.0017453292519943296,0.0,0.0,0.10388864595204342,0.0,0.0,0.01872796039218917,0.0,0.0,0.003490658503988659,0.0,0.0,0.15998851476614687,0.0,0.0
1777274744.2986615,0.003490658503988659,0.0,0.0,0.15998851476614687,0.0,0.0,0.02180611667103571,0.0,0.0,0.003490658503988659,0.0,0.0,0.15998851476614687,0.0,0.0
1777274744.308588,0.003490658503988659,0.0,0.0,0.15998851476614687,0.0,0.0,0.024875132051444055,0.0,0.0,0.006981317007977318,0.0,0.0,0.17245515228039207,0.0,0.0
1777274744.318538,0.006981317007977318,0.0,0.0,0.17245515228039207,0.0,0.0,0.027883044521356683,0.0,0.0,0.008726646259971648,0.0,0.0,0.2243994752564138,0.0020777729190408684,0.0
1777274744.3285677,0.008726646259971648,0.0,0.0,0.2243994752564138,0.0020777729190408684,0.0,0.03087082435715995,0.0,0.0,0.012217304763960306,0.0,0.0,0.2514105232039451,0.0,0.0
1777274744.338536,0.012217304763960306,0.0,0.0,0.2514105232039451,0.0,0.0,0.03385205433851888,0.0,0.0,0.012217304763960306,0.0,0.0,0.2514105232039451,0.0,0.0
1777274744.3486464,0.012217304763960306,0.0,0.0,0.2514105232039451,0.0,0.0,0.036781707897941475,0.0,0.0,0.017453292519943295,0.0,0.0,0.2825771169895581,0.0,0.0
1777274744.358527,0.017453292519943295,0.0,0.0,0.2825771169895581,0.0,0.0,0.03971626561741322,0.0,0.0,0.019198621771937627,0.0,0.0,0.2763437982324355,0.0,0.0
1777274744.3685367,0.019198621771937627,0.0,0.0,0.2763437982324355,0.0,0.0,0.04254542527779667,0.0,0.0,0.022689280275926284,0.0,0.0,0.29088820866572157,0.0,0.0
1777274744.3785818,0.022689280275926284,0.0,0.0,0.29088820866572157,0.0,0.0,0.045369776395270456,0.0,0.0,0.02617993877991494,0.0,0.0,0.2867326628276398,0.0,0.0
1777274744.3886054,0.02617993877991494,0.0,0.0,0.2867326628276398,0.0,0.0,0.04815898104673608,0.0,0.0,0.02617993877991494,0.0,0.0,0.2867326628276398,0.0,0.0
1777274744.3986423,0.02617993877991494,0.0,0.0,0.2867326628276398,0.0,0.0,0.05089442679256137,0.0,0.0,0.02617993877991494,0.0,0.0,0.2867326628276398,0.0,0.0
1777274744.408636,0.02617993877991494,0.0,0.0,0.2867326628276398,0.0,0.0,0.053582950170595715,0.0,0.0,0.03316125578789226,0.0,0.0,0.26803270655627204,0.0,0.004155545838081737
1777274744.418541,0.03316125578789226,0.0,0.0,0.26803270655627204,0.0,0.004155545838081737,0.05620698975667955,0.0,0.0,0.03665191429188092,0.0,0.0,0.27842157115147637,0.0,0.0
1777274744.4286425,0.03665191429188092,0.0,0.0,0.27842157115147637,0.0,0.0,0.05875302329864971,0.0,0.0,0.04014257279586959,0.0,0.0,0.2763437982324355,-0.0020777729190408684,0.0
1777274744.438551,0.04014257279586959,0.0,0.0,0.2763437982324355,-0.0020777729190408684,0.0,0.06129101075284084,0.0,0.0,0.04188790204786391,0.0,0.0,0.27218825239435374,0.0,0.0
1777274744.4486234,0.04188790204786391,0.0,0.0,0.27218825239435374,0.0,0.0,0.06372053028696577,0.0,0.0,0.04188790204786391,0.0,0.0,0.27218825239435374,0.0,0.0
1777274744.4586442,0.04188790204786391,0.0,0.0,0.27218825239435374,0.0,0.0,0.0661269770949794,0.0,0.0,0.04537856055185257,0.0,0.0,0.25972161488010853,0.0,0.0
1777274744.4684076,0.04537856055185257,0.0,0.0,0.25972161488010853,0.0,0.0,0.06845536798341477,0.0,0.0,0.047123889803846894,0.0,0.0,0.2825771169895581,-0.004155545838081737,0.0
1777274744.478654,0.047123889803846894,0.0,0.0,0.2825771169895581,-0.004155545838081737,0.0,0.07065875504763826,0.0,0.0,0.050614548307835565,0.0,0.0,0.2638771607181903,0.0,0.0
1777274744.4885745,0.050614548307835565,0.0,0.0,0.2638771607181903,0.0,0.0,0.0728995781314911,0.0,0.0,0.05585053606381855,0.0,0.0,0.25972161488010853,0.0,0.0
1777274744.4986193,0.05585053606381855,0.0,0.0,0.25972161488010853,0.0,0.0,0.07499723205717916,0.0,0.0,0.05759586531581287,0.0,0.0,0.2514105232039451,0.0,0.0
1777274744.5086007,0.05759586531581287,0.0,0.0,0.2514105232039451,0.0,0.0,0.07704692592123119,0.0,0.0,0.061086523819801536,0.0,0.0,0.24725497736586333,0.0,0.0
1777274744.5185547,0.061086523819801536,0.0,0.0,0.24725497736586333,0.0,0.0,0.07900768895863186,0.0,0.0,0.06283185307179587,0.0,0.0,0.22024392941833204,0.0,0.0
1777274744.5286326,0.06283185307179587,0.0,0.0,0.22024392941833204,0.0,0.0,0.080885706222057,0.0,0.0,0.06457718232379019,0.0,0.0,0.22855502109449552,0.0,-0.0020777729190408684
1777274744.5384848,0.06457718232379019,0.0,0.0,0.22855502109449552,0.0,-0.0020777729190408684,0.0827065316627223,0.0,0.0,0.06806784082777886,0.0,0.0,0.236866112770659,0.0,0.0
1777274744.5486362,0.06806784082777886,0.0,0.0,0.236866112770659,0.0,0.0,0.08440644309060237,0.0,0.0,0.06981317007977318,0.0,0.0,0.2098550648231277,0.0,0.0
1777274744.558596,0.06981317007977318,0.0,0.0,0.2098550648231277,0.0,0.0,0.08607338980221681,0.0,0.0,0.06981317007977318,0.0,0.0,0.2098550648231277,0.0,0.0
1777274744.5685415,0.06981317007977318,0.0,0.0,0.2098550648231277,0.0,0.0,0.0876237981582059,0.0,0.0,0.07330382858376185,0.0,0.0,0.21608838358025032,0.0,0.0
1777274744.5785677,0.07330382858376185,0.0,0.0,0.21608838358025032,0.0,0.0,0.08908642054978222,0.0,0.0,0.07504915783575616,0.0,0.0,0.19323288147080075,0.0,0.0
1777274744.5886438,0.07504915783575616,0.0,0.0,0.19323288147080075,0.0,0.0,0.09047286622780763,0.0,0.0,0.07504915783575616,0.0,0.0,0.19323288147080075,0.0,0.0
1777274744.5986316,0.07504915783575616,0.0,0.0,0.19323288147080075,0.0,0.0,0.09177577550330797,0.0,0.0,0.07853981633974483,0.0,0.0,0.17661069811847382,0.0020777729190408684,0.0
1777274744.6086059,0.07853981633974483,0.0,0.0,0.17661069811847382,0.0020777729190408684,0.0,0.09297653128616098,0.0,0.0,0.08028514559173917,0.0,0.0,0.1703773793613512,0.0,0.0
1777274744.618597,0.08028514559173917,0.0,0.0,0.1703773793613512,0.0,0.0,0.0940843070565869,0.0,0.0,0.08028514559173917,0.0,0.0,0.1703773793613512,0.0,0.0
1777274744.6285393,0.08028514559173917,0.0,0.0,0.1703773793613512,0.0,0.0,0.09510135484871039,0.0,0.0,0.08377580409572782,0.0,0.0,0.16622183352326947,0.0,0.0
1777274744.638485,0.08377580409572782,0.0,0.0,0.16622183352326947,0.0,0.0,0.09602042732298856,0.0,0.0,0.08377580409572782,0.0,0.0,0.16622183352326947,0.0,0.0
1777274744.648648,0.08377580409572782,0.0,0.0,0.16622183352326947,0.0,0.0,0.09684609093560358,0.0,0.0,0.08377580409572782,0.0,0.0,0.16622183352326947,0.0,0.0
1777274744.6586409,0.08377580409572782,0.0,0.0,0.16622183352326947,0.0,0.0,0.09759213824555844,0.0,0.0,0.08901179185171082,0.0,0.0,0.12674414806149298,0.0,0.0
1777274744.6686428,0.08901179185171082,0.0,0.0,0.12674414806149298,0.0,0.0,0.09822870037096554,0.0,0.0,0.08901179185171082,0.0,0.0,0.12882192098053383,0.0,0.0
1777274744.6785376,0.08901179185171082,0.0,0.0,0.12882192098053383,0.0,0.0,0.09876890670484899,0.0,0.0,0.09075712110370514,0.0,0.0,0.13297746681861558,0.0,0.0020777729190408684
1777274744.6885538,0.09075712110370514,0.0,0.0,0.13297746681861558,0.0,0.0020777729190408684,0.09920738274991406,0.0,0.0,0.09250245035569947,0.0,0.0,0.1246663751424521,0.0,0.0
1777274744.6985314,0.09250245035569947,0.0,0.0,0.1246663751424521,0.0,0.0,0.09955360662115675,0.0,0.0,0.09250245035569947,0.0,0.0,0.10596641887108428,0.0,0.0
