t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2
1779608083.4327724,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.2672,-0.0792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.4427657,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.4255999999999998,0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.4528582,0.0,0.0,0.0,0.0,0.0,0.0,0.2376,1.2672,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1779608083.462791,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,-0.198,1.3068,-0.0396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.4727747,0.0,0.0,0.0,0.0,0.0,0.0,0.198,1.3860000000000001,0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1779608083.4827268,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,-0.1188,1.3068,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.4927115,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.2276,-0.0396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.5025985,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.3860000000000001,-0.0792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.5127738,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.3464,0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.5227194,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.4652,0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.5327547,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3464,0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.5428553,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.1880000000000002,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684
1779608083.552638,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,-0.1584,1.2672,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.5627275,0.0,0.0,0.0,0.0,0.0,0.0,0.198,1.3464,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.5727744,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.3860000000000001,0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0
1779608083.5826929,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0,0.1584,1.4255999999999998,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,-0.004155545838081737,0.0
1779608083.5927489,0.0,0.0,0.0,-0.0020777729190408684,-0.004155545838081737,0.0,-0.198,1.4255999999999998,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.6027513,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.4255999999999998,0.1188,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0
1779608083.6127687,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0,0.1584,1.3860000000000001,-0.0396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.6227458,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.3464,-0.0792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684
1779608083.6327257,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.198,1.3860000000000001,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684
1779608083.6427042,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.1188,1.3860000000000001,0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.6527297,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.3464,0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.6625836,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.3068,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.672584,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3860000000000001,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.6827204,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3068,-0.0792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.6927214,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.2672,-0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.7027555,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.2276,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684
1779608083.712796,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,-0.0792,1.2276,0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.722777,0.0,0.0,0.0,0.0,0.0,0.0,-0.198,1.2672,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684
1779608083.7327104,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,-0.1584,1.3068,0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.7427735,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.3860000000000001,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.7527626,0.0,0.0,0.0,0.0,0.0,0.0,0.198,1.3464,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.76263,0.0,0.0,0.0,0.0,0.0,0.0,-0.0792,1.3860000000000001,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,-0.0020777729190408684
1779608083.77274,0.0,0.0,0.0,0.0,-0.0020777729190408684,-0.0020777729190408684,-0.1584,1.3464,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.7827656,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.3860000000000001,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1779608083.7927585,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.198,1.3860000000000001,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.8027227,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3068,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.8127494,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.2276,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.8226976,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.1483999999999999,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.8327115,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.3068,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.84263,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.3860000000000001,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.8527796,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3860000000000001,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.862638,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.3068,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.8727486,0.0,0.0,0.0,0.0,0.0,0.0,-0.0792,1.3068,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.882611,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.4255999999999998,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.8926573,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.4255999999999998,0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684
1779608083.9027765,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,-0.1188,1.3464,0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.9127767,0.0,0.0,0.0,0.0,0.0,0.0,0.0792,1.3860000000000001,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.9227192,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.3860000000000001,0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.9327152,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.4255999999999998,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.9427383,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.3464,-0.3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684
1779608083.9526968,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.1584,1.1880000000000002,0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.9626923,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.1880000000000002,-0.27720000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0
1779608083.9727705,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0,0.1584,1.2672,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.982773,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.2276,-0.27720000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608083.9927573,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.1880000000000002,-0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684
1779608084.0027726,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,-0.0792,1.2276,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.0127695,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.2672,-0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.0227115,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.1880000000000002,-0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.0327733,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.2276,-0.3168,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0
1779608084.0427394,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0,-0.1584,1.3860000000000001,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0
1779608084.052639,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0,0.198,1.3068,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.0627725,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.1880000000000002,0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.0727766,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.1880000000000002,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.0826564,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.2276,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.092585,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.2672,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.1025834,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.3068,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.1127584,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.2672,0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.1225843,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3860000000000001,-0.2376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.132637,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.4255999999999998,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.1425898,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.3860000000000001,0.198,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0
1779608084.152623,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0,-0.1188,1.3860000000000001,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0
1779608084.1626284,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,-0.1188,1.4255999999999998,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.1727357,0.0,0.0,0.0,0.0,0.0,0.0,0.198,1.3860000000000001,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.1827848,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3464,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.1925907,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.2672,-0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0
1779608084.20275,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,-0.1188,1.3464,-0.3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.2134635,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.4255999999999998,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0
1779608084.222644,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0,0.0792,1.4255999999999998,0.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0
1779608084.2326763,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0,0.1188,1.3860000000000001,-0.3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.2426083,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3464,-0.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.2527447,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3860000000000001,-0.4356,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,-0.0020777729190408684
1779608084.2626595,0.0,0.0,0.0,0.0020777729190408684,0.0,-0.0020777729190408684,0.1188,1.2276,-0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.2725832,0.0,0.0,0.0,0.0,0.0,0.0,0.0792,1.3068,-0.3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.2826328,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3860000000000001,-0.27720000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0
1779608084.292644,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.1188,1.4255999999999998,-0.27720000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.302662,0.0,0.0,0.0,0.0,0.0,0.0,-0.0792,1.4255999999999998,-0.35639999999999994,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0
1779608084.3126376,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0,-0.1188,1.3068,0.35639999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.3225894,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3464,-0.35639999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684
1779608084.3325813,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,-0.0792,1.3464,0.35639999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.342623,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3464,-0.3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.3526561,0.0,0.0,0.0,0.0,0.0,0.0,-0.0792,1.4255999999999998,0.35639999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.3625822,0.0,0.0,0.0,0.0,0.0,0.0,0.1584,1.4255999999999998,-0.35639999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684
1779608084.3725927,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,0.1188,1.4255999999999998,0.35639999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.382679,0.0,0.0,0.0,0.0,0.0,0.0,0.1188,1.4255999999999998,0.4356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779608084.3925986,0.0,0.0,0.0,0.0,0.0,0.0,0.0792,1.3860000000000001,-0.27720000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
