t,q_0,q_1,q_2,dq_0,dq_1,dq_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2
1777274953.6438103,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777274953.6541119,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777274953.66395,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.008726646259971648,0.0,0.0,0.9038312197827777,-0.0020777729190408684,0.0
1777274953.6739368,0.008726646259971648,0.0,0.0,0.9038312197827777,-0.0020777729190408684,0.0,0.1,0.0,0.0,0.020943951023931956,0.0,0.0,1.0783641449822108,0.0,0.0
1777274953.6839542,0.020943951023931956,0.0,0.0,1.0783641449822108,0.0,0.0,0.1,0.0,0.0,0.020943951023931956,0.0,0.0,1.0783641449822108,0.0,0.0
1777274953.6939971,0.020943951023931956,0.0,0.0,1.0783641449822108,0.0,0.0,0.1,0.0,0.0,0.031415926535897934,0.0,0.0,1.1157640575249463,-0.0020777729190408684,0.0
1777274953.7040527,0.031415926535897934,0.0,0.0,1.1157640575249463,-0.0020777729190408684,0.0,0.1,0.0,0.0,0.04188790204786391,0.0,0.0,1.0638197345489246,0.0,0.0
1777274953.7140038,0.04188790204786391,0.0,0.0,1.0638197345489246,0.0,0.0,0.1,0.0,0.0,0.05934119456780721,0.0,0.0,0.8331869405353882,0.0,0.0
1777274953.723897,0.05934119456780721,0.0,0.0,0.8331869405353882,0.0,0.0,0.1,0.0,0.0,0.06632251157578452,0.0,0.0,0.7251427487452631,0.0,0.0
1777274953.7340043,0.06632251157578452,0.0,0.0,0.7251427487452631,0.0,0.0,0.1,0.0,0.0,0.06632251157578452,0.0,0.0,0.7251427487452631,0.0,0.0
1777274953.7440944,0.06632251157578452,0.0,0.0,0.7251427487452631,0.0,0.0,0.1,0.0,0.0,0.07330382858376185,0.0,0.0,0.6212541027932197,-0.0020777729190408684,-0.0020777729190408684
1777274953.7538104,0.07330382858376185,0.0,0.0,0.6212541027932197,-0.0020777729190408684,-0.0020777729190408684,0.1,0.0,0.0,0.08203047484373349,0.0,0.0,0.41555458380817367,0.0,0.0
1777274953.7639883,0.08203047484373349,0.0,0.0,0.41555458380817367,0.0,0.0,0.1,0.0,0.0,0.08552113334772216,0.0,0.0,0.3615324879131111,0.0,0.0
1777274953.7740276,0.08552113334772216,0.0,0.0,0.3615324879131111,0.0,0.0,0.1,0.0,0.0,0.08552113334772216,0.0,0.0,0.3615324879131111,0.0,0.0
1777274953.7840223,0.08552113334772216,0.0,0.0,0.3615324879131111,0.0,0.0,0.1,0.0,0.0,0.08726646259971647,0.0,0.0,0.2638771607181903,0.0,0.0
1777274953.7940073,0.08726646259971647,0.0,0.0,0.2638771607181903,0.0,0.0,0.1,0.0,0.0,0.09250245035569947,0.0,0.0,0.20569951898504596,0.0,0.0
1777274953.8039682,0.09250245035569947,0.0,0.0,0.20569951898504596,0.0,0.0,0.1,0.0,0.0,0.09424777960769379,0.0,0.0,0.15583296892806514,0.0,0.0
1777274953.8139923,0.09424777960769379,0.0,0.0,0.15583296892806514,0.0,0.0,0.1,0.0,0.0,0.09424777960769379,0.0,0.0,0.12674414806149298,0.0,0.0
1777274953.8239655,0.09424777960769379,0.0,0.0,0.12674414806149298,0.0,0.0,0.1,0.0,0.0,0.09599310885968812,0.0,0.0,0.10388864595204342,0.0,-0.0020777729190408684
1777274953.8340015,0.09599310885968812,0.0,0.0,0.10388864595204342,0.0,-0.0020777729190408684,0.1,0.0,0.0,0.09599310885968812,0.0,0.0,0.10388864595204342,0.0,-0.0020777729190408684
1777274953.843978,0.09599310885968812,0.0,0.0,0.10388864595204342,0.0,-0.0020777729190408684,0.1,0.0,0.0,0.09773843811168245,0.0,0.0,0.07687759800451213,-0.0020777729190408684,0.0
1777274953.853832,0.09773843811168245,0.0,0.0,0.07687759800451213,-0.0020777729190408684,0.0,0.1,0.0,0.0,0.09773843811168245,0.0,0.0,0.0394776854617765,0.0,0.0
1777274953.8638098,0.09773843811168245,0.0,0.0,0.0394776854617765,0.0,0.0,0.1,0.0,0.0,0.09773843811168245,0.0,0.0,0.04155545838081737,0.0,0.0
1777274953.873978,0.09773843811168245,0.0,0.0,0.04155545838081737,0.0,0.0,0.1,0.0,0.0,0.09773843811168245,0.0,0.0,0.031166593785613025,-0.0020777729190408684,0.0
1777274953.8840165,0.09773843811168245,0.0,0.0,0.031166593785613025,-0.0020777729190408684,0.0,0.1,0.0,0.0,0.09773843811168245,0.0,0.0,0.031166593785613025,-0.0020777729190408684,0.0
1777274953.894004,0.09773843811168245,0.0,0.0,0.031166593785613025,-0.0020777729190408684,0.0,0.1,0.0,0.0,0.09773843811168245,0.0,0.0,0.018699956271367814,0.0,0.0
1777274953.9039354,0.09773843811168245,0.0,0.0,0.018699956271367814,0.0,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.010388864595204342,0.0,0.0020777729190408684
1777274953.9140947,0.0994837673636768,0.0,0.0,0.010388864595204342,0.0,0.0020777729190408684,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.010388864595204342,0.0,0.0020777729190408684
1777274953.9239492,0.0994837673636768,0.0,0.0,0.010388864595204342,0.0,0.0020777729190408684,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.010388864595204342,0.0,0.0
1777274953.9340372,0.0994837673636768,0.0,0.0,0.010388864595204342,0.0,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.008311091676163474,0.0,0.0
1777274953.9439504,0.0994837673636768,0.0,0.0,0.008311091676163474,0.0,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.006233318757122605,0.0,0.0
1777274953.953997,0.0994837673636768,0.0,0.0,0.006233318757122605,0.0,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.006233318757122605,0.0,0.0
1777274953.9640236,0.0994837673636768,0.0,0.0,0.006233318757122605,0.0,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0020777729190408684,0.0,0.0
1777274953.974032,0.0994837673636768,0.0,0.0,0.0020777729190408684,0.0,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,0.0
1777274953.984005,0.0994837673636768,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.0,0.0,0.0
1777274953.993962,0.0994837673636768,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0994837673636768,0.0,0.0,0.004155545838081737,0.0,0.0
