t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2,signal_type,active_joint,amplitude,frequency,combo_index,segment_id,local_t,hold_s
1779528077.1053839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4255999999999998,-0.5148,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,square,1,0.2,0.25,15,30,0.0,0.0
1779528077.1154592,0.0,0.0,0.0,0.0,0.0,0.0,-0.0396,1.5048000000000001,-0.4356,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,square,1,0.2,0.25,15,30,0.01000070571899414,0.0
1779528077.1254125,0.0,0.0,0.0,0.0,0.0,0.0,-0.0396,1.5048000000000001,-0.4356,0.0,0.2,0.0,0.0,0.008726646259971648,0.0,0.0020777729190408684,0.8726646259971648,0.0,square,1,0.2,0.25,15,30,0.02007603645324707,0.0
1779528077.1354213,0.0,0.008726646259971648,0.0,0.0020777729190408684,0.8726646259971648,0.0,-0.0396,2.7324,-5.148000000000001,0.0,0.2,0.0,0.0,0.03316125578789226,0.0,0.006233318757122605,2.1837393379119527,0.0020777729190408684,square,1,0.2,0.25,15,30,0.030029296875,0.0
1779528077.1453831,0.0,0.03316125578789226,0.0,0.006233318757122605,2.1837393379119527,0.0020777729190408684,0.198,-1.2276,2.0988,0.0,0.2,0.0,0.0,0.07853981633974483,0.0,0.004155545838081737,2.243994752564138,0.0,square,1,0.2,0.25,15,30,0.040038108825683594,0.0
1779528077.1553829,0.0,0.07853981633974483,0.0,0.004155545838081737,2.243994752564138,0.0,0.3168,0.1188,-0.6732,0.0,0.2,0.0,0.0,0.0994837673636768,0.0,0.0020777729190408684,2.0092064127125195,-0.0020777729190408684,square,1,0.2,0.25,15,30,0.04999995231628418,0.0
1779528077.1653829,0.0,0.0994837673636768,0.0,0.0020777729190408684,2.0092064127125195,-0.0020777729190408684,0.35639999999999994,-1.1880000000000002,-0.1188,0.0,0.2,0.0,0.0,0.11519173063162574,0.0,-0.0020777729190408684,1.7453292519943295,0.0,square,1,0.2,0.25,15,30,0.059999704360961914,0.0
1779528077.1754136,0.0,0.11519173063162574,0.0,-0.0020777729190408684,1.7453292519943295,0.0,0.2376,-0.1188,0.27720000000000006,0.0,0.2,0.0,0.0,0.11519173063162574,0.0,-0.0020777729190408684,1.7453292519943295,0.0,square,1,0.2,0.25,15,30,0.06999969482421875,0.0
1779528077.1854153,0.0,0.11519173063162574,0.0,-0.0020777729190408684,1.7453292519943295,0.0,0.2376,-0.1188,0.27720000000000006,0.0,0.2,0.0,0.0,0.11519173063162574,0.0,-0.0020777729190408684,1.7453292519943295,0.0,square,1,0.2,0.25,15,30,0.08003044128417969,0.0
1779528077.1954212,0.0,0.11519173063162574,0.0,-0.0020777729190408684,1.7453292519943295,0.0,0.2376,-0.1188,0.27720000000000006,0.0,0.2,0.0,0.0,0.14311699866353503,0.0,-0.022855502109449553,1.3006858473195837,0.0,square,1,0.2,0.25,15,30,0.09003210067749023,0.0
1779528077.2054145,0.0,0.14311699866353503,0.0,-0.022855502109449553,1.3006858473195837,0.0,0.6732,-2.3364,0.4356,0.0,0.2,0.0,0.0,0.15358897417550102,0.0,-0.010388864595204342,1.088753009577415,0.0,square,1,0.2,0.25,15,30,0.10003805160522461,0.0
1779528077.2153828,0.0,0.15358897417550102,0.0,-0.010388864595204342,1.088753009577415,0.0,0.5544000000000001,-0.0396,0.198,0.0,0.2,0.0,0.0,0.16929693744344998,0.0,0.01246663751424521,0.7521537966927944,0.0020777729190408684,square,1,0.2,0.25,15,30,0.1100313663482666,0.0
1779528077.2254426,0.0,0.16929693744344998,0.0,0.01246663751424521,0.7521537966927944,0.0020777729190408684,-0.198,-2.4552,-0.0396,0.0,0.2,0.0,0.0,0.16929693744344998,0.0,0.01246663751424521,0.7521537966927944,0.0020777729190408684,square,1,0.2,0.25,15,30,0.11999964714050293,0.0
1779528077.2354136,0.0,0.16929693744344998,0.0,0.01246663751424521,0.7521537966927944,0.0020777729190408684,-0.198,-2.4552,-0.0396,0.0,0.2,0.0,0.0,0.17453292519943295,0.0,0.02701104794753129,0.6170985569551379,-0.0020777729190408684,square,1,0.2,0.25,15,30,0.13005948066711426,0.0
1779528077.2454104,0.0,0.17453292519943295,0.0,0.02701104794753129,0.6170985569551379,-0.0020777729190408684,0.8316,-0.35639999999999994,0.1188,0.0,0.2,0.0,0.0,0.1832595714594046,0.0,0.0,0.3989324004558467,0.0,square,1,0.2,0.25,15,30,0.1400303840637207,0.0
1779528077.2553825,0.0,0.1832595714594046,0.0,0.0,0.3989324004558467,0.0,0.198,-1.6236000000000002,-0.2376,0.0,0.2,0.0,0.0,0.1867502299633933,0.0,-0.004155545838081737,0.3345214399655798,0.0,square,1,0.2,0.25,15,30,0.15002727508544922,0.0
