subset,source_file,output_file,signal_type,active_joint,amplitude,frequency,combo_index,segment_id,duration_s,row_count,hold_s
p010,../../uan_dataset/uan_exp2_gaussian_20260523_162921.csv,real_data/exp2_subsets/p010/uan_exp2_gaussian_20260523_162921_p010_seg1-7.csv,gaussian,-1,0.0,0.0,-1,1,0.990111589,100,0.997921457876173
p010,../../uan_dataset/uan_exp2_gaussian_20260523_162921.csv,real_data/exp2_subsets/p010/uan_exp2_gaussian_20260523_162921_p010_seg1-7.csv,gaussian,-1,0.0,0.0,-1,2,1.75989628,177,1.7654754853172159
p010,../../uan_dataset/uan_exp2_gaussian_20260523_162921.csv,real_data/exp2_subsets/p010/uan_exp2_gaussian_20260523_162921_p010_seg1-7.csv,gaussian,-1,0.0,0.0,-1,3,1.77011013,178,1.7735083130047533
p010,../../uan_dataset/uan_exp2_gaussian_20260523_162921.csv,real_data/exp2_subsets/p010/uan_exp2_gaussian_20260523_162921_p010_seg1-7.csv,gaussian,-1,0.0,0.0,-1,4,2.74991202,276,2.7556455017943957
p010,../../uan_dataset/uan_exp2_gaussian_20260523_162921.csv,real_data/exp2_subsets/p010/uan_exp2_gaussian_20260523_162921_p010_seg1-7.csv,gaussian,-1,0.0,0.0,-1,5,2.72000289,273,2.72547003365853
p010,../../uan_dataset/uan_exp2_gaussian_20260523_162921.csv,real_data/exp2_subsets/p010/uan_exp2_gaussian_20260523_162921_p010_seg1-7.csv,gaussian,-1,0.0,0.0,-1,6,1.20999908,122,1.2194396715795455
p010,../../uan_dataset/uan_exp2_gaussian_20260523_162921.csv,real_data/exp2_subsets/p010/uan_exp2_gaussian_20260523_162921_p010_seg1-7.csv,gaussian,-1,0.0,0.0,-1,7,2.23000479,224,2.2363732142939172
p010,../../uan_dataset/uan_exp2_gaussian_20260523_162921.csv,real_data/exp2_subsets/p010/uan_exp2_gaussian_20260523_162921_p010_seg10-16.csv,gaussian,-1,0.0,0.0,-1,10,1.92989993,194,1.9308607421282884
p010,../../uan_dataset/uan_exp2_gaussian_20260523_162921.csv,real_data/exp2_subsets/p010/uan_exp2_gaussian_20260523_162921_p010_seg10-16.csv,gaussian,-1,0.0,0.0,-1,11,1.37021446,138,1.3743475990583298
p010,../../uan_dataset/uan_exp2_gaussian_20260523_162921.csv,real_data/exp2_subsets/p010/uan_exp2_gaussian_20260523_162921_p010_seg10-16.csv,gaussian,-1,0.0,0.0,-1,12,1.50013232,151,1.5002157241040464
