t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2,signal_type,active_joint,amplitude,frequency,combo_index,segment_id,local_t,hold_s
1779528308.195442,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0,-0.1188,1.5048000000000001,-0.1584,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,square,2,0.1,1.0,26,52,0.0,0.0
1779528308.2054143,0.0,0.0,0.0,0.0,0.0,0.0,-0.1188,1.3860000000000001,-0.1584,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,square,2,0.1,1.0,26,52,0.009867191314697266,0.0
1779528308.2154107,0.0,0.0,0.0,0.0,0.0,0.0,-0.0792,1.4652,-0.3168,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.008311091676163474,square,2,0.1,1.0,26,52,0.01983952522277832,0.0
1779528308.2255747,0.0,0.0,0.0,0.0,0.0,0.008311091676163474,0.0792,1.3068,6.2964,0.0,0.0,0.1,0.0,0.0,0.012217304763960306,0.0,0.0,0.9869421365444124,square,2,0.1,1.0,26,52,0.029835939407348633,0.0
1779528308.2353845,0.0,0.0,0.012217304763960306,0.0,0.0,0.9869421365444124,-0.5148,1.584,-2.0592,0.0,0.0,0.1,0.0,0.0,0.022689280275926284,0.0,0.0,1.1303084679582325,square,2,0.1,1.0,26,52,0.039999961853027344,0.0
1779528308.245547,0.0,0.0,0.022689280275926284,0.0,0.0,1.1303084679582325,-0.0792,1.5444,0.3168,0.0,0.0,0.1,0.0,0.0,0.03490658503988659,0.0,0.0,1.1323862408772734,square,2,0.1,1.0,26,52,0.04980969429016113,0.0
1779528308.2554128,0.0,0.0,0.03490658503988659,0.0,0.0,1.1323862408772734,-0.0792,1.3068,0.198,0.0,0.0,0.1,0.0,0.0,0.04537856055185257,0.0,0.0,1.0347309136823524,square,2,0.1,1.0,26,52,0.059972286224365234,0.0
1779528308.2654655,0.0,0.0,0.04537856055185257,0.0,0.0,1.0347309136823524,-0.1188,1.5048000000000001,0.2376,0.0,0.0,0.1,0.0,0.0,0.054105206811824215,0.0,-0.0020777729190408684,0.9246089489731865,square,2,0.1,1.0,26,52,0.06983804702758789,0.0
1779528308.2754178,0.0,0.0,0.054105206811824215,0.0,-0.0020777729190408684,0.9246089489731865,-0.1188,1.5048000000000001,-0.198,0.0,0.0,0.1,0.0,0.0,0.061086523819801536,0.0,0.0,0.7978648009116934,square,2,0.1,1.0,26,52,0.07989072799682617,0.0
1779528308.2854176,0.0,0.0,0.061086523819801536,0.0,0.0,0.7978648009116934,-0.1188,1.3860000000000001,0.396,0.0,0.0,0.1,0.0,0.0,0.06806784082777886,0.0,0.0,0.6835872903644457,square,2,0.1,1.0,26,52,0.0898430347442627,0.0
1779528308.295415,0.0,0.0,0.06806784082777886,0.0,0.0,0.6835872903644457,0.1188,1.4652,0.2376,0.0,0.0,0.1,0.0,0.0,0.07330382858376185,0.0,0.0,0.5776208714933614,square,2,0.1,1.0,26,52,0.09984278678894043,0.0
1779528308.3054154,0.0,0.0,0.07330382858376185,0.0,0.0,0.5776208714933614,-0.0396,1.3860000000000001,0.27720000000000006,0.0,0.0,0.1,0.0,0.0,0.07853981633974483,0.0,0.0,0.49658772765076753,square,2,0.1,1.0,26,52,0.10984015464782715,0.0
