t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2,signal_type,active_joint,amplitude,frequency,combo_index,segment_id,local_t,hold_s
1779527248.053367,0.0,0.0,0.0,0.0020777729190408684,0.0,0.0,-0.0792,1.5048000000000001,0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sine,1,0.2,0.25,15,30,0.0,0.0
1779527248.0634549,0.0,0.0,0.0,0.0,0.0,0.0,-0.0792,1.584,-0.0396,0.0,0.0031406366528328386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sine,1,0.2,0.25,15,30,0.009997367858886719,0.0
1779527248.0734937,0.0,0.0,0.0,0.0,0.0,0.0,-0.0396,1.4652,-0.1188,0.0,0.006308947241740262,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,sine,1,0.2,0.25,15,30,0.02008533477783203,0.0
1779527248.0834892,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,-0.0792,1.5444,-0.0792,0.0,0.00946026129547058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sine,1,0.2,0.25,15,30,0.030124187469482422,0.0
1779527248.0934,0.0,0.0,0.0,0.0,0.0,0.0,-0.0396,1.1483999999999999,-0.1188,0.0,0.012595618032905412,0.0,0.0,0.0,0.0,0.0,0.016622183352326948,-0.0020777729190408684,sine,1,0.2,0.25,15,30,0.04011964797973633,0.0
1779527248.1034849,0.0,0.0,0.0,0.0,0.016622183352326948,-0.0020777729190408684,-0.0792,0.396,-0.2376,0.0,0.015701362018721847,0.0,0.0,0.0,0.0,0.0,0.04363323129985824,0.0,sine,1,0.2,0.25,15,30,0.05003046989440918,0.0
1779527248.1135042,0.0,0.0,0.0,0.0,0.04363323129985824,0.0,-0.0396,0.5148,-0.1188,0.0,0.018857735849490288,0.0,0.0,0.0017453292519943296,0.0,0.0,0.10804419179012516,0.0,sine,1,0.2,0.25,15,30,0.06011533737182617,0.0
1779527248.123342,0.0,0.0017453292519943296,0.0,0.0,0.10804419179012516,0.0,-0.0792,0.396,-0.3168,0.0,0.021988904607422234,0.0,0.0,0.0017453292519943296,0.0,-0.0020777729190408684,0.13921078557573818,0.0,sine,1,0.2,0.25,15,30,0.07013463973999023,0.0
1779527248.1333566,0.0,0.0017453292519943296,0.0,-0.0020777729190408684,0.13921078557573818,0.0,-0.0396,0.7127999999999999,-0.27720000000000006,0.0,0.025058077169678894,0.0,0.0,0.005235987755982989,0.0,0.0,0.17661069811847382,0.0,sine,1,0.2,0.25,15,30,0.07997250556945801,0.0
1779527248.1433148,0.0,0.005235987755982989,0.0,0.0,0.17661069811847382,0.0,-0.0396,0.1584,-0.198,0.0,0.028176215361343876,0.0,0.0,0.006981317007977318,0.0,0.0,0.18492178979463728,0.0,sine,1,0.2,0.25,15,30,0.08998703956604004,0.0
1779527248.1534443,0.0,0.006981317007977318,0.0,0.0,0.18492178979463728,0.0,0.0,-0.396,-0.198,0.0,0.03126992205378755,0.0,0.0,0.008726646259971648,0.0,0.0,0.21401061066120944,0.0,sine,1,0.2,0.25,15,30,0.0999453067779541,0.0
1779527248.1634572,0.0,0.008726646259971648,0.0,0.0,0.21401061066120944,0.0,0.0,-1.3464,-0.2376,0.0,0.03440895617987038,0.0,0.0,0.010471975511965978,0.0,0.0,0.23894388568969988,0.0,sine,1,0.2,0.25,15,30,0.11007475852966309,0.0
1779527248.1733484,0.0,0.010471975511965978,0.0,0.0,0.23894388568969988,0.0,0.0,-0.9107999999999999,-0.27720000000000006,0.0,0.037503302734291144,0.0,0.0,0.013962634015954637,0.0,0.0,0.236866112770659,0.0,sine,1,0.2,0.25,15,30,0.1200876235961914,0.0
1779527248.183459,0.0,0.013962634015954637,0.0,0.0,0.236866112770659,0.0,0.0,0.5940000000000001,-0.1584,0.0,0.040550966535014096,0.0,0.0,0.015707963267948967,0.0,0.0,0.26803270655627204,0.0,sine,1,0.2,0.25,15,30,0.12997889518737793,0.0
1779527248.193403,0.0,0.015707963267948967,0.0,0.0,0.26803270655627204,0.0,-0.0396,0.198,-0.4356,0.0,0.04365609158734898,0.0,0.0,0.019198621771937627,0.0,0.0,0.2617993877991494,0.0,sine,1,0.2,0.25,15,30,0.1400895118713379,0.0
1779527248.2034812,0.0,0.019198621771937627,0.0,0.0,0.2617993877991494,0.0,-0.0396,-0.2376,-0.1188,0.0,0.04669929830172445,0.0,0.0,0.020943951023931956,0.0,0.0,0.27842157115147637,0.0,sine,1,0.2,0.25,15,30,0.15003347396850586,0.0
1779527248.2133677,0.0,0.020943951023931956,0.0,0.0,0.27842157115147637,0.0,-0.0396,-1.4255999999999998,-0.27720000000000006,0.0,0.049771955361473275,0.0,0.0,0.024434609527920613,0.0,0.0,0.2888104357466807,0.0,sine,1,0.2,0.25,15,30,0.160111665725708,0.0
1779527248.2234845,0.0,0.024434609527920613,0.0,0.0,0.2888104357466807,0.0,0.0,-0.5148,-0.2376,0.0,0.05277405513815051,0.0,0.0,0.027925268031909273,0.0,0.0,0.28465488990859894,0.0,sine,1,0.2,0.25,15,30,0.1699981689453125,0.0
1779527248.233383,0.0,0.027925268031909273,0.0,0.0,0.28465488990859894,0.0,0.0,0.6732,-0.198,0.0,0.055832909418379956,0.0,0.0,0.031415926535897934,0.0,0.0,0.2950437545038033,0.0,sine,1,0.2,0.25,15,30,0.1801149845123291,0.0
1779527248.2435212,0.0,0.031415926535897934,0.0,0.0,0.2950437545038033,0.0,0.0,-0.4752,-0.2376,0.0,0.05881209126853229,0.0,0.0,0.03316125578789226,0.0,0.0,0.29088820866572157,0.0,sine,1,0.2,0.25,15,30,0.19001340866088867,0.0
1779527248.2533505,0.0,0.03316125578789226,0.0,0.0,0.29088820866572157,0.0,-0.0396,-1.1088000000000002,-0.27720000000000006,0.0,0.06184871712628836,0.0,0.0,0.03665191429188092,0.0,0.0,0.3012770732609259,0.0,sine,1,0.2,0.25,15,30,0.20015168190002441,0.0
1779527248.2633464,0.0,0.03665191429188092,0.0,0.0,0.3012770732609259,0.0,0.0,-0.8316,-0.198,0.0,0.06477782589891073,0.0,0.0,0.04014257279586959,0.0,0.0,0.2950437545038033,0.0,sine,1,0.2,0.25,15,30,0.20998096466064453,0.0
1779527248.2734995,0.0,0.04014257279586959,0.0,0.0,0.2950437545038033,0.0,0.0,0.4356,0.2376,0.0,0.06774075655192462,0.0,0.0,0.04188790204786391,0.0,0.0,0.3033548461799668,0.0,sine,1,0.2,0.25,15,30,0.21997690200805664,0.0
1779527248.2833629,0.0,0.04188790204786391,0.0,0.0,0.3033548461799668,0.0,-0.0792,-0.3168,-0.2376,0.0,0.07073315889757396,0.0,0.0,0.04537856055185257,0.0,0.0,0.2971215274228442,0.0,sine,1,0.2,0.25,15,30,0.23012995719909668,0.0
1779527248.293398,0.0,0.04537856055185257,0.0,0.0,0.2971215274228442,0.0,0.0,-1.3464,-0.27720000000000006,0.0,0.07362296335472115,0.0,0.0,0.048869219055841226,0.0,0.0,0.3033548461799668,0.0,sine,1,0.2,0.25,15,30,0.23999333381652832,0.0
1779527248.3034291,0.0,0.048869219055841226,0.0,0.0,0.3033548461799668,0.0,-0.0396,-0.9504,-0.27720000000000006,0.0,0.0765449211822099,0.0,0.0,0.05235987755982988,0.0,0.0,0.29296598158476245,0.0,sine,1,0.2,0.25,15,30,0.2500283718109131,0.0
1779527248.313394,0.0,0.05235987755982988,0.0,0.0,0.29296598158476245,0.0,-0.0792,0.396,-0.1584,0.0,0.07944676030713765,0.0,0.0,0.054105206811824215,0.0,0.0,0.3033548461799668,0.0,sine,1,0.2,0.25,15,30,0.2600595951080322,0.0
1779527248.3233821,0.0,0.054105206811824215,0.0,0.0,0.3033548461799668,0.0,-0.0396,-0.0792,-0.27720000000000006,0.0,0.08230989753346585,0.0,0.0,0.05759586531581287,0.0,0.0,0.29088820866572157,0.0020777729190408684,sine,1,0.2,0.25,15,30,0.27002453804016113,0.0
1779527248.3334708,0.0,0.05759586531581287,0.0,0.0,0.29088820866572157,0.0020777729190408684,0.0,-1.0296,-0.2376,0.0,0.08515944212293694,0.0,0.0,0.061086523819801536,0.0,0.0,0.30751039201804853,0.0,sine,1,0.2,0.25,15,30,0.2800126075744629,0.0
1779527248.3433752,0.0,0.061086523819801536,0.0,0.0,0.30751039201804853,0.0,-0.0396,-1.2672,-0.27720000000000006,0.0,0.08801640909450188,0.0,0.0,0.06283185307179587,0.0,-0.0020777729190408684,0.2825771169895581,0.0,sine,1,0.2,0.25,15,30,0.2901012897491455,0.0
1779527248.3533413,0.0,0.06283185307179587,0.0,-0.0020777729190408684,0.2825771169895581,0.0,0.0,0.198,-0.198,0.0,0.09079968830016104,0.0,0.0,0.06632251157578452,0.0,-0.0020777729190408684,0.30543261909900765,-0.0020777729190408684,sine,1,0.2,0.25,15,30,0.3000056743621826,0.0
1779527248.3633492,0.0,0.06632251157578452,0.0,-0.0020777729190408684,0.30543261909900765,-0.0020777729190408684,0.0,-0.0792,0.3168,0.0,0.09357813582951315,0.0,0.0,0.06981317007977318,0.0,0.0,0.28465488990859894,0.0,sine,1,0.2,0.25,15,30,0.30997180938720703,0.0
1779527248.3733428,0.0,0.06981317007977318,0.0,0.0,0.28465488990859894,0.0,0.0,-0.4356,-0.2376,0.0,0.09634513728177446,0.0,0.0,0.07330382858376185,0.0,0.0,0.299199300341885,0.0,sine,1,0.2,0.25,15,30,0.3199796676635742,0.0
1779527248.3833842,0.0,0.07330382858376185,0.0,0.0,0.299199300341885,0.0,-0.0396,-1.4652,-0.396,0.0,0.09908442586626447,0.0,0.0,0.07504915783575616,0.0,0.0,0.2825771169895581,0.0,sine,1,0.2,0.25,15,30,0.3299732208251953,0.0
1779527248.3933456,0.0,0.07504915783575616,0.0,0.0,0.2825771169895581,0.0,-0.0396,0.0792,-0.2376,0.0,0.10181225710230293,0.0,0.0,0.07853981633974483,0.0,0.0,0.2950437545038033,0.0,sine,1,0.2,0.25,15,30,0.3400146961212158,0.0
1779527248.4033458,0.0,0.07853981633974483,0.0,0.0,0.2950437545038033,0.0,0.0,0.0792,-0.2376,0.0,0.10449330092905869,0.0,0.0,0.08028514559173917,0.0,-0.0020777729190408684,0.27842157115147637,0.0,sine,1,0.2,0.25,15,30,0.3499760627746582,0.0
1779527248.4134836,0.0,0.08028514559173917,0.0,-0.0020777729190408684,0.27842157115147637,0.0,-0.0792,-0.35639999999999994,-0.35639999999999994,0.0,0.10715907020179692,0.0,0.0,0.08377580409572782,0.0,0.0,0.2825771169895581,0.0,sine,1,0.2,0.25,15,30,0.35997629165649414,0.0
1779527248.4233558,0.0,0.08377580409572782,0.0,0.0,0.2825771169895581,0.0,0.0,-1.4652,-0.396,0.0,0.10983451869376182,0.0,0.0,0.08726646259971647,0.0,0.0,0.28049934407051724,0.0,sine,1,0.2,0.25,15,30,0.3701140880584717,0.0
