t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2,signal_type,active_joint,amplitude,frequency,combo_index,segment_id,local_t,hold_s
1779527290.0633588,0.0,0.0,0.0,0.0,0.0,0.0,-0.0792,1.3068,-0.0792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sine,1,0.2,1.0,17,34,0.0,0.0
1779527290.0733883,0.0,0.0,0.0,0.0,0.0,0.0,-0.0792,1.5048000000000001,0.0792,0.0,0.012396321037412075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sine,1,0.2,1.0,17,34,0.00987100601196289,0.0
1779527290.0833488,0.0,0.0,0.0,0.0,0.0,0.0,-0.0396,1.3068,0.0,0.0,0.02494266765826468,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,sine,1,0.2,1.0,17,34,0.01990056037902832,0.0
1779527290.0933595,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,-0.0396,1.4652,0.0,0.0,0.03730463713419426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sine,1,0.2,1.0,17,34,0.029860973358154297,0.0
1779527290.1033492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7524000000000001,-0.1188,0.0,0.04958179104300341,0.0,0.0,0.0,0.0,0.0,0.09142200843779821,0.0,sine,1,0.2,1.0,17,34,0.0398716926574707,0.0
1779527290.1133528,0.0,0.0,0.0,0.0,0.09142200843779821,0.0,0.0,1.1483999999999999,-0.0792,0.0,0.06163776725074674,0.0,0.0,0.003490658503988659,0.0,0.0,0.2701104794753129,0.0,sine,1,0.2,1.0,17,34,0.04986143112182617,0.0
1779527290.1234784,0.0,0.003490658503988659,0.0,0.0,0.2701104794753129,0.0,-0.0396,0.7524000000000001,-0.2376,0.0,0.0734671487079266,0.0,0.0,0.008726646259971648,0.0,0.0,0.40308794629392847,0.0,sine,1,0.2,1.0,17,34,0.05986499786376953,0.0
1779527290.1333764,0.0,0.008726646259971648,0.0,0.0,0.40308794629392847,0.0,0.0,-0.4752,-0.1188,0.0,0.08514520970041589,0.0,0.0,0.013962634015954637,0.0,0.0,0.5464542777077483,0.0020777729190408684,sine,1,0.2,1.0,17,34,0.06999063491821289,0.0
1779527290.1433616,0.0,0.013962634015954637,0.0,0.0,0.5464542777077483,0.0020777729190408684,0.0,0.6732,-0.2376,0.0,0.09622801803287317,0.0,0.0,0.020943951023931956,0.0,0.0020777729190408684,0.6565762424169144,0.0020777729190408684,sine,1,0.2,1.0,17,34,0.07988858222961426,0.0
1779527290.1533697,0.0,0.020943951023931956,0.0,0.0020777729190408684,0.6565762424169144,0.0020777729190408684,-0.0792,-0.9504,-0.27720000000000006,0.0,0.10703141555387115,0.0,0.0,0.027925268031909273,0.0,0.0,0.7500760237737535,0.0020777729190408684,sine,1,0.2,1.0,17,34,0.0898737907409668,0.0
1779527290.1633904,0.0,0.027925268031909273,0.0,0.0,0.7500760237737535,0.0020777729190408684,-0.0396,0.792,-0.1584,0.0,0.11743694005306221,0.0,0.0,0.03665191429188092,0.0,0.0,0.8311091676163473,0.0,sine,1,0.2,1.0,17,34,0.09988188743591309,0.0
1779527290.1733832,0.0,0.03665191429188092,0.0,0.0,0.8311091676163473,0.0,-0.0396,-0.7127999999999999,-0.35639999999999994,0.0,0.1273904856778488,0.0,0.0,0.04537856055185257,0.0,0.0,0.883053490592369,0.0,sine,1,0.2,1.0,17,34,0.10990262031555176,0.0
1779527290.1833467,0.0,0.04537856055185257,0.0,0.0,0.883053490592369,0.0,-0.0792,-0.6336,-0.198,0.0,0.13681362626615773,0.0,0.0,0.05585053606381855,0.0,0.0,0.9391533594064725,0.0,sine,1,0.2,1.0,17,34,0.11989545822143555,0.0
1779527290.1934893,0.0,0.05585053606381855,0.0,0.0,0.9391533594064725,0.0,-0.0396,-0.0396,-0.2376,0.0,0.14567235096309952,0.0,0.0,0.06457718232379019,0.0,0.0,0.9640866344349629,0.0,sine,1,0.2,1.0,17,34,0.12985897064208984,0.0
1779527290.2034874,0.0,0.06457718232379019,0.0,0.0,0.9640866344349629,0.0,-0.0792,0.198,-0.4356,0.0,0.1541038784322116,0.0,0.0,0.07504915783575616,0.0,0.0,0.978631044868249,0.0,sine,1,0.2,1.0,17,34,0.14000153541564941,0.0
1779527290.2133968,0.0,0.07504915783575616,0.0,0.0,0.978631044868249,0.0,0.1188,-0.5544000000000001,-0.3168,0.0,0.16180311710849835,0.0,0.0,0.08552113334772216,0.0,0.0,0.9807088177872899,0.0,sine,1,0.2,1.0,17,34,0.14999961853027344,0.0
1779527290.223445,0.0,0.08552113334772216,0.0,0.0,0.9807088177872899,0.0,-0.2376,-1.2276,-0.2376,0.0,0.16880429027290866,0.0,0.0,0.09424777960769379,0.0,0.0,0.9744754990301673,0.0,sine,1,0.2,1.0,17,34,0.15990900993347168,0.0
1779527290.2334757,0.0,0.09424777960769379,0.0,0.0,0.9744754990301673,0.0,-0.0792,-0.6732,-0.3168,0.0,0.17523539534807683,0.0,0.0,0.10471975511965977,0.0,0.0,0.9516199969207177,0.0,sine,1,0.2,1.0,17,34,0.16995716094970703,0.0
1779527290.243466,0.0,0.10471975511965977,0.0,0.0,0.9516199969207177,0.0,-0.1188,0.2376,-0.27720000000000006,0.0,0.18095893982994335,0.0,0.0,0.11344640137963143,0.0,-0.0020777729190408684,0.930842267730309,0.0,sine,1,0.2,1.0,17,34,0.17998790740966797,0.0
1779527290.253355,0.0,0.11344640137963143,0.0,-0.0020777729190408684,0.930842267730309,0.0,-0.0792,-0.1584,-0.35639999999999994,0.0,0.18594517500989985,0.0,0.0,0.12217304763960307,0.0,0.0020777729190408684,0.8975979010256552,0.0,sine,1,0.2,1.0,17,34,0.18997812271118164,0.0
1779527290.2633498,0.0,0.12217304763960307,0.0,0.0020777729190408684,0.8975979010256552,0.0,-0.1188,-1.3464,-0.396,0.0,0.19015968675560554,0.0,0.0,0.1308996938995747,0.0,-0.0020777729190408684,0.868509080159083,0.0,sine,1,0.2,1.0,17,34,0.19986724853515625,0.0
1779527290.273349,0.0,0.1308996938995747,0.0,-0.0020777729190408684,0.868509080159083,0.0,-0.0792,-0.5940000000000001,-0.27720000000000006,0.0,0.1936734306788737,0.0,0.0,0.13962634015954636,0.0,0.0,0.8290313946973065,0.0,sine,1,0.2,1.0,17,34,0.20986199378967285,0.0
1779527290.2834804,0.0,0.13962634015954636,0.0,0.0,0.8290313946973065,0.0,-0.0396,0.35639999999999994,-0.27720000000000006,0.0,0.1964247084829266,0.0,0.0,0.1466076571675237,0.0,-0.0020777729190408684,0.7853981633974483,0.0020777729190408684,sine,1,0.2,1.0,17,34,0.21986126899719238,0.0
