t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2,signal_type,active_joint,amplitude,frequency,combo_index,segment_id,local_t,hold_s
1779528350.2154143,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,-0.0396,1.4255999999999998,-0.396,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,square,2,0.2,0.5,28,56,0.0,0.0
1779528350.2254143,0.0,0.0,0.0,0.0,0.0,0.0,-0.0396,1.5048000000000001,-0.396,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,square,2,0.2,0.5,28,56,0.009976625442504883,0.0
1779528350.2354143,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,-0.0396,1.5444,-0.4752,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.004155545838081737,square,2,0.2,0.5,28,56,0.01997661590576172,0.0
1779528350.245417,0.0,0.0,0.0,0.0,0.0,0.004155545838081737,-0.1584,0.1188,3.8412,0.0,0.0,0.2,0.0,0.0,0.015707963267948967,0.0,0.0020777729190408684,1.419118903704913,square,2,0.2,0.5,28,56,0.029976606369018555,0.0
1779528350.255416,0.0,0.0,0.015707963267948967,0.0,0.0020777729190408684,1.419118903704913,0.0,0.6336,1.5444,0.0,0.0,0.2,0.0,0.0,0.04188790204786391,0.0020777729190408684,0.0,2.3769722193827536,square,2,0.2,0.5,28,56,0.03997945785522461,0.0
1779528350.2655861,0.0,0.0,0.04188790204786391,0.0020777729190408684,0.0,2.3769722193827536,0.0,1.5048000000000001,-2.4155999999999995,0.0,0.0,0.2,0.0,0.0,0.06457718232379019,0.0,-0.0020777729190408684,2.2959390755401596,square,2,0.2,0.5,28,56,0.04997825622558594,0.0
1779528350.2754126,0.0,0.0,0.06457718232379019,0.0,-0.0020777729190408684,2.2959390755401596,0.1584,1.3464,0.0,0.0,0.0,0.2,0.0,0.0,0.08726646259971647,0.0,-0.0020777729190408684,2.15257274412634,square,2,0.2,0.5,28,56,0.06014847755432129,0.0
1779528350.2854195,0.0,0.0,0.08726646259971647,0.0,-0.0020777729190408684,2.15257274412634,0.0396,1.3068,-0.1188,0.0,0.0,0.2,0.0,0.0,0.10471975511965977,0.0,0.0,1.8970066750843129,square,2,0.2,0.5,28,56,0.06997489929199219,0.0
1779528350.2954295,0.0,0.0,0.10471975511965977,0.0,0.0,1.8970066750843129,0.0,1.3860000000000001,-0.5940000000000001,0.0,0.0,0.2,0.0,0.0,0.12042771838760874,0.0020777729190408684,0.0,1.655985016475572,square,2,0.2,0.5,28,56,0.07998180389404297,0.0
1779528350.3054173,0.0,0.0,0.12042771838760874,0.0020777729190408684,0.0,1.655985016475572,0.0,1.4255999999999998,0.0,0.0,0.0,0.2,0.0,0.0,0.1343903524035634,0.0,0.0,1.4211966766239539,square,2,0.2,0.5,28,56,0.08999180793762207,0.0
1779528350.315415,0.0,0.0,0.1343903524035634,0.0,0.0,1.4211966766239539,0.0792,1.3860000000000001,0.0,0.0,0.0,0.2,0.0,0.0,0.1466076571675237,-0.0020777729190408684,-0.0020777729190408684,1.2092638388817853,square,2,0.2,0.5,28,56,0.09997963905334473,0.0
1779528350.325417,0.0,0.0,0.1466076571675237,-0.0020777729190408684,-0.0020777729190408684,1.2092638388817853,0.0,1.4255999999999998,0.0,0.0,0.0,0.2,0.0,0.0,0.15533430342749532,0.0,0.0,1.0181087303300256,square,2,0.2,0.5,28,56,0.10997724533081055,0.0
1779528350.3354146,0.0,0.0,0.15533430342749532,0.0,0.0,1.0181087303300256,0.0,1.5444,0.4752,0.0,0.0,0.2,0.0,0.0,0.16406094968746698,-0.0020777729190408684,0.0,0.8539646697257969,square,2,0.2,0.5,28,56,0.1199793815612793,0.0
1779528350.3454175,0.0,0.0,0.16406094968746698,-0.0020777729190408684,0.0,0.8539646697257969,0.0,1.5444,-0.2376,0.0,0.0,0.2,0.0,0.0,0.1710422666954443,0.0,0.0,0.7105983383119769,square,2,0.2,0.5,28,56,0.12997698783874512,0.0
1779528350.3554523,0.0,0.0,0.1710422666954443,0.0,0.0,0.7105983383119769,-0.1188,1.5444,0.1584,0.0,0.0,0.2,0.0,0.0,0.1762782544514273,0.0,0.0,0.5859319631695249,square,2,0.2,0.5,28,56,0.13997983932495117,0.0
1779528350.3654153,0.0,0.0,0.1762782544514273,0.0,0.0,0.5859319631695249,-0.1188,1.5444,-0.1188,0.0,0.0,0.2,0.0,0.0,0.18151424220741028,0.0,0.0,0.47996554429844057,square,2,0.2,0.5,28,56,0.15001463890075684,0.0
1779528350.3754177,0.0,0.0,0.18151424220741028,0.0,0.0,0.47996554429844057,-0.0792,1.5048000000000001,0.7127999999999999,0.0,0.0,0.2,0.0,0.0,0.18500490071139894,0.0,0.0,0.39062130877968326,square,2,0.2,0.5,28,56,0.15997767448425293,0.0
