t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2,signal_type,active_joint,amplitude,frequency,combo_index,segment_id,local_t,hold_s
1779526995.9133632,0.0,0.0,0.0,0.0,0.0020777729190408684,0.0,-0.198,1.4652,-0.1188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sine,0,0.2,0.25,3,6,0.0,0.0
1779526995.9234748,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.5048000000000001,0.0396,0.003142134496147159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,sine,0,0.2,0.25,3,6,0.01000213623046875,0.0
1779526995.9333441,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,-0.198,1.3860000000000001,-0.0792,0.0063178560669775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sine,0,0.2,0.25,3,6,0.020113706588745117,0.0
1779526995.9433427,0.0,0.0,0.0,0.0,0.0,0.0,0.0792,1.3068,-0.1188,0.009415969064239629,0.0,0.0,0.0,0.0,0.0,0.02493327502849042,0.0,0.0,sine,0,0.2,0.25,3,6,0.029983043670654297,0.0
1779526995.9533706,0.0,0.0,0.0,0.02493327502849042,0.0,0.0,0.0792,1.4652,0.1584,0.01255233591247049,0.0,0.0,0.0,0.0,0.0,0.02701104794753129,0.0,0.0,sine,0,0.2,0.25,3,6,0.03998160362243652,0.0
1779526995.9633675,0.0,0.0,0.0,0.02701104794753129,0.0,0.0,0.9107999999999999,1.4652,-0.0396,0.015694791030108703,0.0,0.0,0.0017453292519943296,0.0,0.0,0.09557755427587994,0.0,0.0,sine,0,0.2,0.25,3,6,0.05000948905944824,0.0
1779526995.973343,0.0017453292519943296,0.0,0.0,0.09557755427587994,0.0,0.0,0.2376,1.4652,0.0396,0.01882365812894526,0.0,0.0,0.0017453292519943296,0.0,0.0,0.11012196470916602,0.0,0.0,sine,0,0.2,0.25,3,6,0.06000638008117676,0.0
1779526995.9833553,0.0017453292519943296,0.0,0.0,0.11012196470916602,0.0,0.0,0.8316,1.4652,0.0,0.02194118323398636,0.0,0.0,0.003490658503988659,0.0,0.0,0.1703773793613512,0.0,0.0,sine,0,0.2,0.25,3,6,0.06998181343078613,0.0
1779526995.9933457,0.003490658503988659,0.0,0.0,0.1703773793613512,0.0,0.0,0.1188,1.3860000000000001,-0.0396,0.02506483947351287,0.0,0.0,0.005235987755982989,0.0,0.0,0.16829960644231035,0.0,0.0,sine,0,0.2,0.25,3,6,0.07999420166015625,0.0
1779526996.0033407,0.005235987755982989,0.0,0.0,0.16829960644231035,0.0,0.0,0.5940000000000001,1.3068,-0.1188,0.028175473817361914,0.0,0.0,0.006981317007977318,0.0,0.0,0.17661069811847382,0.0,0.0,sine,0,0.2,0.25,3,6,0.08998465538024902,0.0
1779526996.0135243,0.006981317007977318,0.0,0.0,0.17661069811847382,0.0,0.0,1.0296,1.3464,0.0,0.03128057516451709,0.0,0.0,0.010471975511965978,0.0,0.0,0.21193283774216856,0.0,0.0,sine,0,0.2,0.25,3,6,0.09997963905334473,0.0
1779526996.0233407,0.010471975511965978,0.0,0.0,0.21193283774216856,0.0,0.0,0.6732,1.4652,-0.1188,0.03443632991960066,0.0,0.0,0.012217304763960306,0.0,0.0,0.25764384196106765,0.0020777729190408684,0.0020777729190408684,sine,0,0.2,0.25,3,6,0.11016321182250977,0.0
1779526996.0333486,0.012217304763960306,0.0,0.0,0.25764384196106765,0.0020777729190408684,0.0020777729190408684,-0.0792,1.4652,-0.0792,0.03746997373294233,0.0,0.0,0.013962634015954637,0.0,0.0,0.23894388568969988,0.0,0.0,sine,0,0.2,0.25,3,6,0.1199796199798584,0.0
1779526996.0433512,0.013962634015954637,0.0,0.0,0.23894388568969988,0.0,0.0,0.4752,1.4652,0.0396,0.04055360697539329,0.0,0.0,0.017453292519943295,0.0,0.0,0.25972161488010853,0.0,0.0,sine,0,0.2,0.25,3,6,0.12998747825622559,0.0
1779526996.0533657,0.017453292519943295,0.0,0.0,0.25972161488010853,0.0,0.0,0.1584,1.4652,0.0,0.04362561034037488,0.0,0.0,0.020943951023931956,0.0,0.0,0.2617993877991494,0.0,0.0,sine,0,0.2,0.25,3,6,0.13999009132385254,0.0
1779526996.063348,0.020943951023931956,0.0,0.0,0.2617993877991494,0.0,0.0,0.9107999999999999,1.4652,-0.0792,0.046690485708301636,0.0,0.0,0.022689280275926284,0.0,0.0,0.30543261909900765,0.0020777729190408684,0.0,sine,0,0.2,0.25,3,6,0.15000462532043457,0.0
1779526996.0734987,0.022689280275926284,0.0,0.0,0.30543261909900765,0.0020777729190408684,0.0,-0.1584,1.3464,-0.1188,0.049734013386709554,0.0,0.0,0.02617993877991494,0.0,0.0,0.2701104794753129,0.0,0.0,sine,0,0.2,0.25,3,6,0.1599869728088379,0.0
1779526996.0833504,0.02617993877991494,0.0,0.0,0.2701104794753129,0.0,0.0,0.4356,1.5048000000000001,-0.0396,0.05281631822780946,0.0,0.0,0.027925268031909273,0.0,0.0,0.28465488990859894,0.0,0.0020777729190408684,sine,0,0.2,0.25,3,6,0.17013764381408691,0.0
1779526996.0933506,0.027925268031909273,0.0,0.0,0.28465488990859894,0.0,0.0020777729190408684,0.396,1.4652,-0.1584,0.055795004609067,0.0,0.0,0.031415926535897934,0.0,0.0,0.3033548461799668,0.0,0.0,sine,0,0.2,0.25,3,6,0.17998933792114258,0.0
1779526996.1033459,0.031415926535897934,0.0,0.0,0.3033548461799668,0.0,0.0,0.396,1.3464,-0.0396,0.05880493224964687,0.0,0.0,0.03490658503988659,0.0,0.0,0.29088820866572157,0.0,0.0,sine,0,0.2,0.25,3,6,0.18998956680297852,0.0
1779526996.113348,0.03490658503988659,0.0,0.0,0.29088820866572157,0.0,0.0,0.5544000000000001,1.5048000000000001,-0.0792,0.06179885403436648,0.0,0.0,0.038397243543875255,0.0,0.0,0.30751039201804853,0.0020777729190408684,0.0,sine,0,0.2,0.25,3,6,0.19998478889465332,0.0
1779526996.1233568,0.038397243543875255,0.0,0.0,0.30751039201804853,0.0020777729190408684,0.0,0.2376,1.3860000000000001,-0.1584,0.06477959749228808,0.0,0.0,0.04014257279586959,0.0,0.0,0.29088820866572157,0.0,0.0,sine,0,0.2,0.25,3,6,0.20998692512512207,0.0
1779526996.1335518,0.04014257279586959,0.0,0.0,0.29088820866572157,0.0,0.0,0.27720000000000006,1.4652,0.0792,0.06774632398507575,0.0,0.0,0.04363323129985824,0.0,0.0,0.2825771169895581,0.0,0.0,sine,0,0.2,0.25,3,6,0.21999573707580566,0.0
1779526996.1433504,0.04363323129985824,0.0,0.0,0.2825771169895581,0.0,0.0,0.5544000000000001,1.3068,-0.1188,0.07075102404500808,0.0,0.0,0.047123889803846894,0.0,0.0,0.2867326628276398,0.0,0.0,sine,0,0.2,0.25,3,6,0.23019075393676758,0.0
1779526996.153501,0.047123889803846894,0.0,0.0,0.2867326628276398,0.0,0.0,0.3168,1.5048000000000001,0.0792,0.07362177944170321,0.0,0.0,0.048869219055841226,0.0,0.0,0.2950437545038033,0.0,0.0,sine,0,0.2,0.25,3,6,0.2399892807006836,0.0
1779526996.1634421,0.048869219055841226,0.0,0.0,0.2950437545038033,0.0,0.0,0.0396,1.3464,-0.0396,0.07657730495027282,0.0,0.0,0.05235987755982988,0.0,0.0,0.28465488990859894,0.0,-0.0020777729190408684,sine,0,0.2,0.25,3,6,0.2501399517059326,0.0
1779526996.1733484,0.05235987755982988,0.0,0.0,0.28465488990859894,0.0,-0.0020777729190408684,0.6336,1.3464,-0.0792,0.07945294671139734,0.0,0.0,0.05585053606381855,0.0,0.0,0.3220548024513346,0.0,0.0,sine,0,0.2,0.25,3,6,0.26008105278015137,0.0
