t,q_0,q_1,q_2,dq_0,dq_1,dq_2,tau_0,tau_1,tau_2,cmd_0,cmd_1,cmd_2,q_next_0,q_next_1,q_next_2,dq_next_0,dq_next_1,dq_next_2,signal_type,active_joint,amplitude,frequency,combo_index,segment_id,local_t,hold_s
1779527079.9633646,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.3068,-0.0792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,sine,0,0.3,0.5,7,14,0.0,0.0
1779527079.9733496,0.0,0.0,0.0,0.0,0.0,0.0020777729190408684,-0.1188,1.3860000000000001,-0.1584,0.009408844755173305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sine,0,0.3,0.5,7,14,0.009984731674194336,0.0
1779527079.9833424,0.0,0.0,0.0,0.0,0.0,0.0,-0.1584,1.3860000000000001,0.0,0.01880865670919279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sine,0,0.3,0.5,7,14,0.019969701766967773,0.0
1779527079.9935198,0.0,0.0,0.0,0.0,0.0,0.0,-0.0792,1.3464,0.0,0.028197344960733957,0.0,0.0,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0,sine,0,0.3,0.5,7,14,0.029962539672851562,0.0
1779527080.0033455,0.0,0.0,0.0,-0.0020777729190408684,0.0,0.0,0.0396,1.4255999999999998,0.0396,0.03773079205726488,0.0,0.0,0.0,0.0,0.0,0.06856650632834865,-0.0020777729190408684,0.0020777729190408684,sine,0,0.3,0.5,7,14,0.04013991355895996,0.0
1779527080.0134168,0.0,0.0,0.0,0.06856650632834865,-0.0020777729190408684,0.0020777729190408684,0.5544000000000001,1.4255999999999998,0.1188,0.04689833581697979,0.0,0.0,0.0017453292519943296,0.0,0.0,0.18076624395655555,0.0,0.0,sine,0,0.3,0.5,7,14,0.049965620040893555,0.0
1779527080.0234988,0.0017453292519943296,0.0,0.0,0.18076624395655555,0.0,0.0,0.5148,1.3068,0.1584,0.05624855325775336,0.0,0.0,0.0017453292519943296,0.0,0.0,0.18076624395655555,0.0,0.0,sine,0,0.3,0.5,7,14,0.06003689765930176,0.0
1779527080.033361,0.0017453292519943296,0.0,0.0,0.18076624395655555,0.0,0.0,0.5148,1.3068,0.1584,0.06555233346188717,0.0,0.0,0.0017453292519943296,0.0,0.0,0.18076624395655555,0.0,0.0,sine,0,0.3,0.5,7,14,0.07011890411376953,0.0
1779527080.04338,0.0017453292519943296,0.0,0.0,0.18076624395655555,0.0,0.0,0.5148,1.3068,0.1584,0.07458970243854057,0.0,0.0,0.0017453292519943296,0.0,0.0,0.18076624395655555,0.0,0.0,sine,0,0.3,0.5,7,14,0.07998108863830566,0.0
1779527080.0533912,0.0017453292519943296,0.0,0.0,0.18076624395655555,0.0,0.0,0.5148,1.3068,0.1584,0.08369746991226522,0.0,0.0,0.0017453292519943296,0.0,0.0,0.18076624395655555,0.0,0.0,sine,0,0.3,0.5,7,14,0.09000015258789062,0.0
